player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr,week,year
CeeDee Lamb,61570,WR,DAL,1,10,0,9,7.8,0,0.0,0.0,0,1,100.0,1,0,0,28.8,35.0,0,0,0.0,0,9,0,88.9,8,39.6,4,40.0,0,0,0,,,0.0,0,13.3,0,50.0,50.0,1,2,0.0,0,2,0,68.3,62.0,0,16,0.0,0,34,2,91.2,31,74.0,4,40.0,0,29,8,4.0,14.5,0.94,1,2022
Christian Kirk,47546,WR,JAX,1,10,0,15,7.5,0,50.0,,0,0,0.0,0,1,0,64.7,66.2,0,25,0.0,0,18,1,83.3,15,95.8,2,20.0,0,25,14,14.0,25.0,1.67,0,15.4,1,71.4,,0,0,0.0,0,2,0,73.4,87.9,1,49,0.0,0,20,5,90.0,18,74.1,7,70.0,0,92,36,7.2,18.4,5.11,1,2022
Curtis Samuel,11795,WR,WAS,1,10,0,32,2.5,1,50.0,,0,0,0.0,0,1,0,68.3,75.3,0,12,0.0,0,10,1,90.0,9,68.8,2,20.0,0,12,11,11.0,12.0,1.33,0,1.6,1,85.7,100.0,1,1,0.0,0,4,0,75.6,84.7,0,13,0.0,0,22,6,86.4,19,132.4,7,70.0,1,44,36,6.0,7.3,2.32,1,2022
Diontae Johnson,33441,WR,PIT,1,10,0,25,9.0,0,60.0,0.0,0,1,0.0,0,1,1,70.5,56.4,0,7,0.0,0,16,3,93.8,15,64.6,5,50.0,0,14,0,0.0,4.7,0.93,0,10.8,1,75.0,100.0,1,1,0.0,0,1,0,70.5,72.2,0,25,0.0,0,20,3,95.0,19,97.9,4,40.0,0,32,0,0.0,10.7,1.68,1,2022
Justin Jefferson,61398,WR,MIN,1,10,0,18,13.0,0,100.0,,0,0,0.0,0,1,0,64.7,85.1,0,20,0.0,0,4,1,100.0,4,118.8,1,10.0,0,20,7,7.0,20.0,5.0,0,12.3,2,100.0,100.0,1,1,0.0,0,6,0,75.6,92.1,0,64,0.0,0,22,7,95.5,21,158.3,7,70.0,2,159,73,10.4,22.7,7.57,1,2022
Corey Davis,11760,WR,NYJ,1,9,0,22,12.4,0,40.0,100.0,1,1,33.3,1,2,0,29.9,63.2,0,12,0.0,0,13,2,84.6,11,51.3,5,55.6,0,19,0,0.0,9.5,1.73,0,12.8,0,100.0,,0,0,0.0,0,3,0,72.1,71.5,0,17,4.0,1,25,4,96.0,24,118.8,4,44.4,0,58,7,1.8,14.5,2.42,1,2022
Noah Brown,11993,WR,DAL,1,9,0,9,13.0,0,50.0,50.0,1,2,0.0,0,1,0,64.7,67.7,0,17,0.0,0,8,1,87.5,7,79.2,2,22.2,0,17,1,1.0,17.0,2.43,0,9.0,0,57.1,,0,0,0.0,0,3,0,72.1,69.8,1,22,0.0,0,29,4,89.7,26,40.5,7,77.8,0,51,23,5.8,12.8,1.96,1,2022
Pat Freiermuth,84085,TE,PIT,1,9,0,25,8.5,0,25.0,0.0,0,1,0.0,0,1,0,64.7,61.6,0,10,6.3,1,16,1,87.5,14,39.6,4,44.4,0,10,4,4.0,10.0,0.71,0,8.8,2,80.0,0.0,0,1,0.0,0,2,0,72.1,88.5,0,31,16.7,3,18,4,77.8,14,118.8,5,55.6,0,65,25,6.3,16.3,4.64,1,2022
Kyle Philips,84463,WR,TEN,1,9,0,31,12.0,0,100.0,100.0,1,1,0.0,0,2,0,72.1,75.7,0,21,0.0,0,13,4,76.9,10,118.8,4,44.4,0,52,4,1.0,13.0,5.2,0,5.8,0,40.0,100.0,1,1,33.3,1,1,0,29.9,64.5,0,9,0.0,0,10,2,100.0,10,47.9,5,55.6,0,14,4,2.0,7.0,1.4,1,2022
Greg Dortch,42237,WR,ARZ,1,9,0,1,3.3,1,75.0,0.0,0,1,0.0,0,1,0,70.5,67.1,0,10,0.0,0,10,3,100.0,10,84.4,4,44.4,0,19,20,6.7,6.3,1.9,0,11.8,1,75.0,0.0,0,1,0.0,0,2,0,70.5,62.1,0,24,0.0,0,29,3,93.1,27,107.3,4,44.4,0,41,10,3.3,13.7,1.52,1,2022
Stefon Diggs,9579,WR,BUF,1,9,0,4,9.0,0,100.0,,0,0,0.0,0,1,0,64.7,72.4,0,10,0.0,0,3,1,100.0,3,108.3,1,11.1,0,10,1,1.0,10.0,3.33,0,5.6,0,100.0,100.0,1,1,0.0,0,3,0,73.4,73.5,0,21,0.0,0,19,5,100.0,19,110.8,5,55.6,0,53,25,5.0,10.6,2.79,1,2022
Tyler Higbee,10744,TE,LA,1,9,0,26,2.5,0,100.0,,0,0,0.0,0,2,0,68.3,87.5,0,5,0.0,0,3,2,66.7,2,85.4,2,22.2,0,9,4,2.0,4.5,4.5,0,2.7,0,42.9,,0,0,40.0,2,2,0,28.0,48.4,2,11,0.0,0,38,3,100.0,38,16.1,7,77.8,0,30,24,8.0,10.0,0.79,1,2022
Zay Jones,11792,WR,JAX,1,9,0,15,6.0,0,80.0,,0,0,0.0,0,3,0,72.1,74.9,0,18,0.0,0,18,4,83.3,15,102.5,5,55.6,0,43,20,5.0,10.8,2.87,0,15.8,0,50.0,50.0,1,2,0.0,0,1,0,68.3,61.7,0,15,0.0,0,20,2,95.0,19,66.7,4,44.4,0,22,3,1.5,11.0,1.16,1,2022
Travis Kelce,7844,TE,KC,1,9,0,16,10.3,0,100.0,100.0,1,1,0.0,0,3,0,70.5,76.9,0,26,0.0,0,18,3,94.4,17,158.3,3,33.3,1,40,14,4.7,13.3,2.35,0,11.5,0,75.0,,0,0,0.0,0,2,0,70.5,81.8,0,35,0.0,0,12,3,91.7,11,116.7,4,44.4,0,52,14,4.7,17.3,4.73,1,2022
Michael Thomas,10681,WR,NO,1,8,0,20,10.7,0,66.7,100.0,1,1,0.0,0,2,0,68.3,76.1,0,21,0.0,0,14,2,85.7,12,130.6,3,37.5,1,24,3,1.5,12.0,2.0,0,12.5,0,50.0,100.0,1,1,33.3,1,1,0,29.9,54.2,0,20,0.0,0,18,2,100.0,18,68.8,4,50.0,0,24,3,1.5,12.0,1.33,1,2022
D.J. Chark Jr.,47702,WR,DET,1,8,0,11,12.3,1,66.7,100.0,1,1,33.3,1,2,0,29.9,72.4,0,22,0.0,0,9,2,100.0,9,145.8,3,37.5,1,35,7,3.5,17.5,3.89,0,17.4,1,40.0,100.0,1,1,0.0,0,1,0,68.3,57.9,0,13,0.0,0,28,2,96.4,27,49.6,5,62.5,0,17,9,4.5,8.5,0.63,1,2022
Mark Andrews,47436,TE,BLT,1,8,0,3,9.0,0,50.0,,0,0,0.0,0,1,0,64.7,79.6,0,17,0.0,0,6,1,100.0,6,79.2,2,25.0,0,17,4,4.0,17.0,2.83,0,13.8,0,66.7,0.0,0,1,0.0,0,2,0,72.1,65.4,0,15,0.0,0,25,4,96.0,24,81.9,6,75.0,0,35,8,2.0,8.8,1.46,1,2022
Dalton Schultz,47304,TE,DAL,1,8,0,9,,0,,,0,0,,0,0,0,,51.6,0,0,11.1,1,9,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0,0,7.6,0,100.0,100.0,3,3,0.0,0,2,0,75.6,71.3,0,14,5.7,2,35,7,85.7,30,103.6,7,87.5,0,62,9,1.3,8.9,2.07,1,2022
Jarvis Landry,8698,WR,NO,1,8,0,20,37.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,67.1,0,40,0.0,0,15,1,86.7,13,118.8,1,12.5,0,40,3,3.0,40.0,3.08,0,11.9,3,85.7,0.0,0,1,0.0,0,3,0,74.6,89.0,0,31,0.0,0,16,6,100.0,16,110.7,7,87.5,0,74,13,2.2,12.3,4.63,1,2022
Michael Carter,57337,HB,NYJ,1,8,0,22,,0,,,0,0,,0,0,0,,51.8,0,0,36.4,4,11,0,63.6,7,0.0,0,0.0,0,0,0,,,0.0,0,-1.3,1,100.0,,0,0,0.0,0,3,0,74.6,85.3,0,11,30.0,6,20,6,70.0,14,91.0,6,75.0,0,35,43,7.2,5.8,2.5,1,2022
Breece Hall,97636,HB,NYJ,1,8,0,22,-3.0,0,50.0,,0,0,50.0,1,1,0,28.8,38.8,0,6,33.3,2,6,1,50.0,3,56.3,2,25.0,0,6,11,11.0,6.0,2.0,0,2.4,1,80.0,,0,0,0.0,0,1,1,72.1,32.8,0,16,9.5,2,21,4,90.5,19,90.0,5,62.5,0,28,20,5.0,7.0,1.47,1,2022
JuJu Smith-Schuster,11817,WR,KC,1,8,0,16,10.8,0,50.0,0.0,0,1,0.0,0,2,0,68.3,69.6,0,18,0.0,0,16,2,93.8,15,69.8,4,50.0,0,25,11,5.5,12.5,1.67,0,11.7,0,100.0,,0,0,0.0,0,1,2,70.5,43.1,0,20,0.0,0,12,3,91.7,11,118.8,3,37.5,0,47,12,4.0,15.7,4.27,1,2022
Joe Mixon,11803,HB,CIN,1,8,0,7,,0,,,0,0,,0,0,0,,52.3,0,0,25.0,4,16,0,62.5,10,0.0,0,0.0,0,0,0,,,0.0,0,0.3,1,100.0,,0,0,0.0,0,3,0,75.6,90.7,0,18,5.3,1,19,7,94.7,18,104.2,7,87.5,0,63,61,8.7,9.0,3.5,1,2022
Garrett Wilson,97405,WR,NYJ,1,8,0,22,5.3,1,66.7,,0,0,0.0,0,1,0,68.3,77.4,0,15,0.0,0,8,2,87.5,7,91.0,3,37.5,0,24,10,5.0,12.0,3.43,0,10.3,2,66.7,0.0,0,1,0.0,0,1,0,68.3,66.1,0,19,0.0,0,21,2,100.0,21,96.5,3,37.5,0,28,8,4.0,14.0,1.33,1,2022
Antonio Gibson,78050,HB,WAS,1,8,0,32,-2.3,0,66.7,,0,0,0.0,0,1,0,68.3,75.7,1,25,0.0,0,5,2,80.0,4,50.0,3,37.5,0,23,25,12.5,11.5,5.75,0,7.3,2,100.0,100.0,1,1,0.0,0,2,0,72.1,85.9,0,26,11.1,2,18,4,77.8,14,112.5,4,50.0,0,44,15,3.8,11.0,3.14,1,2022
Robbie Anderson,11254,WR,CAR,1,7,0,5,2.0,0,0.0,,0,0,,0,0,0,,54.8,0,0,0.0,0,6,0,83.3,5,39.6,1,14.3,0,0,0,,,0.0,0,13.8,0,80.0,,0,0,0.0,0,1,0,72.1,65.2,0,75,0.0,0,23,4,95.7,22,158.3,5,71.4,1,90,37,9.3,22.5,4.09,1,2022
Elijah Moore,84302,WR,NYJ,1,7,0,22,8.0,0,0.0,0.0,0,1,,0,0,0,,52.8,0,0,0.0,0,13,0,84.6,11,39.6,1,14.3,0,0,0,,,0.0,0,8.2,3,83.3,100.0,1,1,0.0,0,3,0,73.4,65.8,0,24,0.0,0,36,5,100.0,36,100.7,6,85.7,0,49,16,3.2,9.8,1.36,1,2022
Hayden Hurst,47294,TE,CIN,1,7,0,7,7.5,0,50.0,,0,0,0.0,0,0,0,64.7,49.4,0,1,5.3,1,19,1,73.7,14,56.3,2,28.6,0,1,1,1.0,1.0,0.07,0,5.8,0,80.0,,0,0,0.0,0,3,0,72.1,76.3,1,20,0.0,0,30,4,96.7,29,64.6,5,71.4,0,45,20,5.0,11.3,1.55,1,2022
Deebo Samuel,48274,WR,SF,1,7,0,28,,0,,,0,0,,0,0,0,,56.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,8.5,2,33.3,,0,0,50.0,2,0,0,27.3,52.0,0,8,0.0,0,28,2,96.4,27,42.4,6,85.7,0,14,19,9.5,7.0,0.52,1,2022
Courtland Sutton,48164,WR,DEN,1,7,0,10,,0,,,0,0,,0,0,0,,58.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.5,0,7,0.0,0,18,1,94.4,17,95.8,1,14.3,0,7,1,1.0,7.0,0.41,1,2022
Jerry Jeudy,61103,WR,DEN,1,7,0,10,26.0,2,100.0,100.0,1,1,0.0,0,1,0,64.7,94.4,0,67,0.0,0,1,1,100.0,1,158.3,1,14.3,1,67,41,41.0,67.0,67.0,0,11.7,0,66.7,,0,0,0.0,0,2,0,68.3,68.0,0,18,0.0,0,18,2,94.4,17,102.1,3,42.9,0,32,26,13.0,16.0,1.88,1,2022
T.J. Hockenson,40912,TE,DET,1,7,0,11,10.5,0,50.0,,0,0,0.0,0,1,0,64.7,79.5,0,11,0.0,0,10,1,90.0,9,66.7,2,28.6,0,11,2,2.0,11.0,1.22,0,4.0,1,60.0,,0,0,0.0,0,2,0,70.5,68.0,1,16,21.4,6,28,3,75.0,21,35.0,5,71.4,0,27,22,7.3,9.0,1.29,1,2022
Kyle Pitts,83964,TE,ATL,1,7,0,2,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,76.3,0,8,0.0,0,3,1,100.0,3,100.0,1,14.3,0,8,3,3.0,8.0,2.67,0,12.8,0,20.0,0.0,0,1,0.0,0,1,0,64.7,52.2,0,11,25.0,7,28,1,75.0,21,39.6,5,71.4,0,11,4,4.0,11.0,0.52,1,2022
Mike Evans,8642,WR,TB,1,7,0,30,10.4,0,60.0,100.0,1,1,0.0,0,3,0,70.5,89.8,1,17,0.0,0,9,3,100.0,9,78.8,5,71.4,1,32,9,3.0,10.7,3.56,0,19.0,0,100.0,,0,0,0.0,0,2,0,68.3,72.4,0,20,0.0,0,12,2,100.0,12,118.8,2,28.6,0,39,1,0.5,19.5,3.25,1,2022
Tyler Boyd,10689,WR,CIN,1,7,0,7,3.0,0,100.0,,0,0,0.0,0,1,0,64.7,58.2,0,2,0.0,0,19,1,78.9,15,118.8,1,14.3,1,2,0,0.0,2.0,0.13,0,13.8,0,50.0,,0,0,0.0,0,2,0,68.3,62.5,2,22,0.0,0,28,2,96.4,27,33.3,4,57.1,0,28,0,0.0,14.0,1.04,1,2022
D.K. Metcalf,47864,WR,SEA,1,7,0,29,15.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,68.7,0,15,0.0,0,7,1,85.7,6,118.8,1,14.3,0,15,0,0.0,15.0,2.5,0,0.7,1,100.0,,0,0,0.0,0,0,1,70.5,41.7,0,8,0.0,0,12,3,91.7,11,84.7,3,42.9,0,13,11,3.7,4.3,1.18,1,2022
Rex Burkhead,7971,HB,HST,1,7,0,13,4.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,64.1,0,6,14.3,1,7,1,71.4,5,91.7,1,14.3,0,6,2,2.0,6.0,1.2,0,-0.2,0,66.7,0.0,0,1,20.0,1,0,0,42.1,46.1,0,8,25.9,7,27,4,74.1,20,74.3,6,85.7,0,24,29,7.3,6.0,1.2,1,2022
Saquon Barkley,45791,HB,NYG,1,7,0,21,,0,,,0,0,,0,0,0,64.7,72.5,0,0,25.0,2,8,0,62.5,5,0.0,0,0.0,0,0,0,,,0.0,0,-1.8,0,100.0,,0,0,0.0,0,0,0,75.6,76.4,0,7,5.9,1,17,6,88.2,15,87.5,6,85.7,0,30,41,6.8,5.0,2.0,1,2022
Drake London,86519,WR,ATL,1,7,0,2,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.3,0,6,0.0,0,4,1,100.0,4,91.7,1,14.3,0,6,2,2.0,6.0,1.5,0,13.8,0,66.7,100.0,1,1,0.0,0,3,0,72.1,80.6,0,31,0.0,0,23,4,95.7,22,104.9,6,85.7,0,68,15,3.8,17.0,3.09,1,2022
A.J. Dillon,57165,HB,GB,1,6,0,12,-3.0,0,0.0,,0,0,100.0,1,0,0,27.9,27.9,0,0,0.0,0,2,0,100.0,2,39.6,1,16.7,0,0,0,,,0.0,0,3.0,0,100.0,,0,0,0.0,0,1,0,64.7,58.3,0,12,25.0,2,8,1,75.0,6,116.7,1,16.7,0,12,9,9.0,12.0,2.0,1,2022
Zack Moss,40341,HB,BUF,1,6,0,4,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,81.3,0,8,0.0,0,1,1,100.0,1,100.0,1,16.7,0,8,3,3.0,8.0,8.0,0,-1.3,4,100.0,,0,0,0.0,0,0,0,72.1,64.8,0,4,8.3,1,12,4,91.7,11,79.2,4,66.7,0,11,16,4.0,2.8,1.0,1,2022
Mecole Hardman,42683,WR,KC,1,6,0,16,12.0,0,50.0,,0,0,0.0,0,2,0,68.3,72.3,0,8,0.0,0,14,2,92.9,13,95.8,4,66.7,1,10,8,4.0,5.0,0.77,0,35.0,0,0.0,,0,0,,0,0,0,,54.7,0,0,0.0,0,8,0,100.0,8,39.6,1,16.7,0,0,0,,,0.0,1,2022
Kylen Granson,40630,TE,IND,1,6,0,14,,0,,,0,0,,0,0,0,,57.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,6.0,0,40.0,0.0,0,1,33.3,1,1,0,30.0,40.5,0,12,3.7,1,27,2,92.6,25,47.9,5,83.3,0,15,8,4.0,7.5,0.6,1,2022
Amari Cooper,9437,WR,CLV,1,6,0,8,9.8,0,50.0,0.0,0,1,0.0,0,0,0,68.3,49.6,0,6,0.0,0,15,2,80.0,12,56.3,4,66.7,0,8,4,2.0,4.0,0.67,0,16.0,0,0.0,,0,0,,0,0,0,,53.0,0,0,0.0,0,16,0,87.5,14,39.6,1,16.7,0,0,0,,,0.0,1,2022
Darren Waller,9637,TE,LV,1,6,0,23,22.0,0,100.0,,0,0,0.0,0,1,0,64.7,85.9,0,31,16.7,1,6,1,83.3,5,118.8,1,16.7,0,31,9,9.0,31.0,6.2,0,12.8,0,75.0,,0,0,0.0,0,3,0,70.5,73.0,1,23,4.8,1,21,3,95.2,20,75.0,4,66.7,0,48,18,6.0,16.0,2.4,1,2022
Marquise Brown,61568,WR,ARZ,1,6,0,1,13.0,0,50.0,,0,0,0.0,0,1,0,64.7,74.0,0,6,0.0,0,10,1,100.0,10,95.8,2,33.3,1,6,0,0.0,6.0,0.6,0,21.0,0,75.0,0.0,0,1,0.0,0,1,0,70.5,66.1,0,26,0.0,0,29,3,93.1,27,103.1,4,66.7,0,37,3,1.0,12.3,1.37,1,2022
Ashton Dulin,91479,WR,IND,1,6,0,14,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,18.4,0,60.0,0.0,0,1,0.0,0,2,0,70.5,70.7,0,23,0.0,0,14,3,92.9,13,90.4,5,83.3,0,46,10,3.3,15.3,3.54,1,2022
Jonathan Taylor,57488,HB,IND,1,6,0,14,-1.0,0,0.0,,0,0,,0,0,0,,56.9,0,0,0.0,0,3,0,100.0,3,39.6,1,16.7,0,0,0,,,0.0,0,-2.8,0,80.0,,0,0,0.0,0,0,0,73.4,64.6,1,5,3.2,1,31,4,90.3,28,39.6,5,83.3,0,14,23,5.8,3.5,0.5,1,2022
Jakobi Meyers,47468,WR,NE,1,6,0,19,27.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,76.0,0,27,0.0,0,9,1,77.8,7,118.8,1,16.7,0,27,0,0.0,27.0,3.86,0,13.2,0,60.0,100.0,2,2,0.0,0,1,0,70.5,65.9,0,12,0.0,0,21,3,100.0,21,75.4,5,83.3,0,28,1,0.3,9.3,1.33,1,2022
Marvin Jones Jr.,7158,WR,JAX,1,6,0,15,28.0,0,0.0,,0,0,,0,0,0,,52.1,0,0,0.0,0,17,0,82.4,14,39.6,1,16.7,0,0,0,,,0.0,0,16.7,0,66.7,,0,0,0.0,0,1,0,68.3,56.2,0,8,0.0,0,19,2,89.5,17,79.9,3,50.0,0,16,1,0.5,8.0,0.94,1,2022
Nyheim Hines,48103,HB,IND,1,6,0,14,7.0,0,100.0,,0,0,0.0,0,2,0,68.3,88.0,0,15,0.0,0,3,2,100.0,3,116.7,2,33.3,0,24,10,5.0,12.0,8.0,0,-3.3,0,100.0,,0,0,0.0,0,1,0,70.5,65.0,0,11,0.0,0,15,3,100.0,15,90.3,3,50.0,0,17,27,9.0,5.7,1.13,1,2022
Jauan Jennings,48027,WR,SF,1,6,0,28,8.0,0,0.0,,0,0,,0,0,0,,56.7,1,0,0.0,0,3,0,100.0,3,0.0,2,33.3,0,0,0,,,0.0,0,11.0,0,100.0,,0,0,0.0,0,2,0,72.1,75.6,0,44,0.0,0,23,4,95.7,22,118.8,4,66.7,0,62,18,4.5,15.5,2.82,1,2022
Bennett Skowronek,27948,WR,LA,1,6,0,26,,0,,,0,0,,0,0,0,,55.7,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,13.8,0,75.0,,0,0,0.0,0,1,0,70.5,57.1,0,12,0.0,0,35,3,100.0,35,85.4,4,66.7,0,20,10,3.3,6.7,0.57,1,2022
Richie James Jr.,28991,WR,NYG,1,6,0,21,11.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,59.2,0,6,0.0,0,8,1,87.5,7,56.3,2,33.3,0,6,1,1.0,6.0,0.86,0,10.5,0,100.0,,0,0,0.0,0,2,0,72.1,66.2,0,16,0.0,0,13,4,92.3,12,118.8,4,66.7,0,53,11,2.8,13.3,4.42,1,2022
Hunter Renfrow,47509,WR,LV,1,6,0,23,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.5,0,7,0.0,0,7,1,85.7,6,95.8,1,16.7,0,7,2,2.0,7.0,1.17,0,4.7,0,33.3,,0,0,0.0,0,1,0,64.7,58.9,1,5,0.0,0,20,1,100.0,20,2.8,3,50.0,0,5,1,1.0,5.0,0.25,1,2022
Romeo Doubs,84329,WR,GB,1,5,0,12,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,10.0,0,50.0,,0,0,0.0,0,0,0,64.7,53.0,0,3,0.0,0,14,1,100.0,14,56.3,2,40.0,0,3,0,0.0,3.0,0.21,1,2022
