player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception,week,year
Kyle Van Noy,8675,ED,LAC,1,16,0,27,0,,,75.0,,,0,0,,62.2,0,,,0,0,0.0,0,3,18.8,4,0,0,0,0,0,0,0.0,,0,1,,,72.7,,,0,0,,66.2,0,,0.0,0,0,0.0,0,8,50.0,11,0,0,0,0,0,0,0.0,,1,2022
Lamarcus Joyner,8676,S,NYJ,1,35,0,22,0,,,100.0,,,0,0,,62.6,0,,,0,0,0.0,0,6,17.1,6,0,0,0,0,0,0,0.0,,0,0,50.0,100.0,100.0,26.0,26.0,0,0,0.0,28.7,0,55.0,0.0,0,0,158.3,1,27,77.1,27,0,1,1,1,55,5,2.1,55.0,1,2022
Christian Kirksey,8706,LB,HST,1,49,0,13,0,,,50.0,,,0,0,,62.2,0,,,0,0,0.0,0,3,6.1,6,0,0,0,0,0,0,0.0,,0,2,2.0,100.0,90.9,12.7,12.7,0,0,0.0,54.9,0,12.0,0.0,0,0,94.4,3,40,81.6,44,0,0,3,0,20,14,0.5,6.7,1,2022
Kevin Pierre-Louis,8767,LB,HST,1,9,0,13,0,-1.0,0.0,100.0,,1.0,0,0,0.0,60.0,0,,,0,0,39.6,0,1,11.1,1,0,0,1,0,0,0,0.0,,0,0,2.5,0.0,100.0,,3.5,0,1,50.0,85.0,0,,,0,1,39.6,0,7,77.8,7,0,0,2,0,0,0,0.0,,1,2022
Devon Kennard,8809,ED,ARZ,1,2,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,8,0,0,0,0,0,0,,,0,0,,,20.0,,,0,0,,77.3,0,,0.0,0,0,0.0,0,2,100.0,10,1,1,0,0,0,0,0.0,,1,2022
Denico Autry,8982,ED,TEN,1,2,0,31,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,6,0,1,0,0,0,0,,,0,0,,,14.3,,,0,0,,60.6,0,,100.0,1,0,0.0,0,2,100.0,14,0,0,0,0,0,0,0.0,,1,2022
Shaquil Barrett,9000,ED,TB,1,4,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,14.3,,,0,0,,62.8,0,,,0,0,0.0,0,4,100.0,28,0,0,0,0,0,0,0.0,,1,2022
Adrian Phillips,9177,S,NE,1,17,0,19,0,,,100.0,,,0,0,,62.1,0,,,0,0,0.0,0,4,23.5,4,0,0,0,0,0,0,0.0,,0,0,6.7,66.7,100.0,6.5,4.3,0,0,0.0,66.6,0,12.0,0.0,0,0,84.0,2,13,76.5,13,2,2,3,0,19,0,1.5,9.5,1,2022
K'Waun Williams,9332,CB,DEN,1,19,0,10,0,,,100.0,,,0,0,,64.2,0,,,0,0,0.0,0,4,21.1,4,0,0,0,0,0,0,0.0,,0,0,-2.0,100.0,100.0,7.0,7.0,0,0,0.0,63.4,0,3.0,0.0,0,0,79.2,1,7,36.8,7,0,1,1,0,3,5,0.4,3.0,1,2022
Bud Dupree,9455,ED,TEN,1,2,0,31,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,-2.0,100.0,10.5,2.0,2.0,0,0,0.0,60.6,0,6.0,,0,0,91.7,1,2,100.0,19,1,0,1,0,6,8,3.0,6.0,1,2022
Shaq Thompson,9458,LB,CAR,1,32,0,5,0,-5.0,100.0,100.0,4.5,4.5,0,0,0.0,31.9,0,24.0,,0,0,118.8,2,12,37.5,12,0,0,2,0,26,36,2.9,13.0,0,1,6.3,0.0,92.9,,3.7,0,0,0.0,63.4,0,,0.0,0,0,39.6,0,13,40.6,14,0,0,3,0,0,0,0.0,,1,2022
Eric Kendricks,9478,LB,MIN,1,42,0,18,0,-3.0,0.0,100.0,,2.0,0,0,0.0,67.9,0,,,0,0,39.6,0,2,4.8,2,0,0,1,0,0,0,0.0,,0,0,8.3,33.3,95.7,22.0,7.3,0,1,33.3,73.4,0,13.0,0.0,0,1,47.9,1,22,52.4,23,0,2,3,0,13,9,0.6,13.0,1,2022
Denzel Perryman,9481,LB,LV,1,16,0,23,1,,,83.3,,,0,0,,67.8,0,,0.0,0,0,0.0,0,5,31.3,6,0,0,0,0,0,0,0.0,,0,0,-6.0,100.0,100.0,9.0,9.0,0,0,0.0,76.9,0,-3.0,0.0,0,0,79.2,1,9,56.3,9,1,1,1,0,-3,3,-0.3,-3.0,1,2022
Ronald Darby,9483,CB,DEN,1,35,0,10,0,8.0,100.0,100.0,6.0,6.0,0,0,0.0,51.8,0,9.0,0.0,0,0,104.2,1,7,20.0,7,0,1,1,0,9,1,1.5,9.0,0,1,-2.0,100.0,100.0,12.0,12.0,0,0,0.0,84.2,0,1.0,0.0,0,0,79.2,1,13,37.1,13,0,0,1,0,1,3,0.1,1.0,1,2022
Jordan Phillips,9485,DI,BUF,1,1,0,4,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,4.3,,,0,0,,59.1,0,,100.0,1,0,0.0,0,1,100.0,23,2,0,0,0,0,0,0.0,,1,2022
Markus Golden,9491,ED,ARZ,1,4,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,10,0,0,0,0,0,0,,,0,0,4.0,100.0,57.1,2.0,2.0,0,0,0.0,29.0,0,20.0,,0,0,118.8,2,4,100.0,7,0,0,2,0,38,30,9.5,19.0,1,2022
Randy Gregory,9493,ED,DEN,1,4,0,10,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,7,0,0,0,0,0,0,0.0,,0,0,,,16.7,,,0,0,,91.7,0,,0.0,0,0,0.0,0,1,25.0,6,1,1,0,0,0,0,,,1,2022
Frank Clark,9496,ED,KC,1,1,0,16,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,10,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,1,2022
P.J. Williams,9511,S,NO,1,11,0,20,0,5.0,100.0,100.0,1.0,1.0,0,0,0.0,49.6,0,8.0,0.0,0,0,100.0,1,1,9.1,1,0,1,1,0,8,3,8.0,8.0,0,2,9.5,100.0,90.9,4.5,4.5,0,0,0.0,40.0,0,31.0,0.0,0,0,118.8,2,10,90.9,11,0,1,2,0,36,17,4.0,18.0,1,2022
Jordan Hicks,9517,LB,MIN,1,42,0,18,0,,,100.0,,,0,0,,60.6,0,,,0,0,0.0,0,2,4.8,2,0,0,0,0,0,0,0.0,,0,1,3.3,100.0,100.0,5.8,5.8,0,0,0.0,46.0,0,23.0,0.0,0,0,110.4,4,23,54.8,23,0,2,4,0,42,29,1.8,10.5,1,2022
Steven Nelson,9531,CB,HST,1,56,0,13,0,,,100.0,,,0,0,,65.6,0,,,0,0,0.0,0,6,10.7,6,0,0,0,0,0,0,0.0,,0,1,16.0,50.0,100.0,14.0,7.0,0,2,33.3,67.0,0,16.0,0.0,0,2,109.7,3,44,78.6,44,0,2,6,1,38,14,0.9,12.7,1,2022
Kwon Alexander,9557,LB,NYJ,1,18,0,22,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,1.5,100.0,94.4,8.0,8.0,0,0,0.0,67.9,0,7.0,0.0,0,0,85.4,2,17,94.4,18,1,2,2,0,9,6,0.6,4.5,1,2022
Damien Wilson,9560,LB,CAR,1,13,0,5,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,13.0,100.0,85.7,5.0,5.0,0,0,0.0,52.1,0,19.0,0.0,0,0,118.8,1,6,46.2,7,1,2,1,0,19,6,3.8,19.0,1,2022
Adrian Amos,9575,S,GB,1,34,0,12,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,4,11.8,4,0,0,0,0,0,0,0.0,,0,0,5.3,100.0,100.0,7.0,7.0,0,0,0.0,27.1,0,36.0,50.0,1,0,158.3,3,22,64.7,22,0,1,3,2,47,31,2.2,15.7,1,2022
Bobby McCain,9578,S,WAS,1,49,0,32,0,3.0,100.0,94.4,14.0,14.0,0,0,0.0,62.4,0,3.0,0.0,0,0,79.2,1,17,34.7,18,1,2,1,0,3,0,0.2,3.0,0,0,,,100.0,,,0,0,,54.1,0,,,0,0,0.0,0,23,46.9,23,0,0,0,0,0,0,0.0,,1,2022
Quandre Diggs,9633,S,SEA,1,47,0,29,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,2.1,1,0,0,0,0,0,0,0.0,,0,2,2.0,100.0,100.0,18.0,18.0,0,0,0.0,57.3,0,5.0,0.0,0,0,87.5,1,19,40.4,19,0,1,1,0,5,3,0.3,5.0,1,2022
Rakeem Nunez-Roches,9650,DI,TB,1,1,0,30,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,9,0,0,0,0,0,0,0.0,,1,2022
Troy Hill,9881,CB,LA,1,36,0,26,0,13.0,0.0,100.0,,4.0,0,0,0.0,77.6,0,,,0,0,39.6,0,4,11.1,4,0,0,1,0,0,0,0.0,,0,1,5.8,75.0,100.0,8.0,6.0,0,0,0.0,78.4,1,21.0,20.0,1,0,62.5,3,24,66.7,24,2,3,4,0,36,26,1.5,12.0,1,2022
Justin Coleman,9892,CB,SEA,1,40,0,29,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,3.5,100.0,100.0,8.5,8.5,0,0,0.0,60.7,0,18.0,0.0,0,0,118.8,2,18,45.0,18,0,2,2,0,25,18,1.5,12.5,1,2022
Alex Singleton,9994,LB,DEN,1,31,0,10,0,,,80.0,,,0,0,,62.2,0,,,0,0,0.0,0,4,12.9,5,0,0,0,0,0,0,0.0,,0,1,3.0,100.0,92.3,5.5,5.5,0,0,0.0,55.5,0,13.0,0.0,0,0,97.9,2,12,38.7,13,1,3,2,0,15,9,1.4,7.5,1,2022
Bryce Callahan,10000,CB,LAC,1,35,0,27,0,5.0,100.0,100.0,5.0,5.0,0,0,0.0,68.3,0,7.0,0.0,0,0,95.8,1,5,14.3,5,0,2,1,0,7,2,1.4,7.0,0,1,13.8,25.0,90.0,18.0,4.5,0,0,0.0,83.1,1,5.0,0.0,0,0,0.0,1,18,51.4,20,0,0,4,0,5,1,0.3,5.0,1,2022
Efe Obada,10235,ED,WAS,1,1,0,32,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,2,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,1,2022
Joey Bosa,10637,ED,LAC,1,1,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,6,1,0,0,0,0,0,,,0,0,,,4.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,21,1,0,0,0,0,0,0.0,,1,2022
Jalen Ramsey,10639,CB,LA,1,38,0,26,0,9.0,100.0,100.0,4.0,4.0,0,0,0.0,46.9,0,10.0,,0,0,108.3,1,4,10.5,4,0,0,1,0,10,1,2.5,10.0,0,0,13.0,100.0,100.0,13.0,13.0,0,0,0.0,61.2,0,26.0,0.0,0,0,158.3,2,26,68.4,26,0,2,2,1,38,12,1.5,19.0,1,2022
Leonard Floyd,10643,ED,LA,1,5,0,26,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,3,0,0,0,0,0,0,,,0,0,7.0,100.0,19.0,2.0,2.0,0,0,0.0,29.7,0,12.0,0.0,0,0,114.6,2,4,80.0,21,0,2,2,0,23,9,5.8,11.5,1,2022
Eli Apple,10644,CB,CIN,1,41,0,7,0,1.0,100.0,100.0,16.0,16.0,0,0,0.0,77.2,0,1.0,0.0,0,0,79.2,1,17,41.5,17,1,1,1,0,1,0,0.1,1.0,0,0,7.0,100.0,95.2,19.0,19.0,0,0,0.0,62.0,0,7.0,50.0,1,0,95.8,1,20,48.8,21,1,1,1,0,7,0,0.4,7.0,1,2022
William Jackson III,10658,CB,WAS,1,48,0,32,0,16.0,50.0,100.0,15.0,7.5,0,0,0.0,46.6,0,7.0,0.0,0,0,58.3,1,18,37.5,18,0,1,2,0,7,3,0.5,7.0,0,1,8.5,100.0,95.7,5.0,5.0,0,0,0.0,58.7,0,15.0,0.0,0,0,106.3,4,22,45.8,23,0,4,4,0,38,4,1.9,9.5,1,2022
Myles Jack,10670,LB,PIT,1,57,0,25,0,,,84.2,,,0,0,,68.2,0,,,0,0,0.0,0,16,28.1,19,0,0,0,0,0,0,0.0,,0,1,1.2,80.0,100.0,7.0,5.6,0,0,0.0,49.3,0,10.0,0.0,0,0,95.8,4,29,50.9,29,0,3,5,0,35,33,1.3,8.8,1,2022
Xavien Howard,10672,CB,MIA,1,34,0,17,0,23.0,0.0,100.0,,7.0,0,1,100.0,28.9,0,,,0,1,39.6,0,9,26.5,9,0,0,1,0,0,0,0.0,,0,0,,,95.7,,,0,0,,71.0,0,,0.0,0,0,0.0,0,22,64.7,23,1,2,0,0,0,0,0.0,,1,2022
